IDTournament|e|y|Indoor|TournamentType
0|580|2013|0|1
1|520|2013|0|1
2|540|2013|0|1
3|560|2013|0|1
4|580|2014|0|1
5|520|2014|0|1
6|540|2014|0|1
7|560|2014|0|1
8|339|2013|0|2
9|891|2013|0|2
10|451|2013|0|2
11|301|2013|0|2
12|338|2013|0|2
13|375|2013|1|2
14|505|2013|0|2
15|2276|2013|1|2
16|407|2013|1|2
17|424|2013|1|2
18|533|2013|1|2
19|506|2013|0|2
20|496|2013|1|2
21|402|2013|1|2
22|807|2013|0|2
23|499|2013|0|2
24|495|2013|0|2
25|404|2013|0|2
26|403|2013|0|2
27|360|2013|0|2
28|717|2013|0|2
29|410|2013|0|2
30|425|2013|0|2
31|773|2013|0|2
32|308|2013|0|2
33|468|2013|0|2
34|1536|2013|0|2
35|416|2013|0|2
36|6710|2013|0|2
37|6120|2013|0|2
38|500|2013|0|2
39|311|2013|0|2
40|440|2013|0|2
41|741|2013|0|2
42|316|2013|0|2
43|315|2013|0|2
44|321|2013|0|2
45|6718|2013|0|2
46|414|2013|0|2
47|6116|2013|0|2
48|314|2013|0|2
49|439|2013|0|2
50|319|2013|0|2
51|418|2013|0|2
52|421|2013|0|2
53|422|2013|0|2
54|6242|2013|0|2
55|341|2013|1|2
56|568|2013|1|2
57|1720|2013|1|2
58|6003|2013|1|2
59|747|2013|0|2
60|329|2013|0|2
61|5014|2013|0|2
62|438|2013|1|2
63|429|2013|1|2
64|337|2013|1|2
65|328|2013|1|2
66|573|2013|1|2
67|352|2013|1|2
68|605|2013|1|2
69|339|2014|0|2
70|891|2014|0|2
71|451|2014|0|2
72|301|2014|0|2
73|338|2014|0|2
74|375|2014|1|2
75|505|2014|0|2
76|2276|2014|1|2
77|506|2014|0|2
78|402|2014|1|2
79|407|2014|1|2
80|499|2014|0|2
81|496|2014|1|2
82|6932|2014|0|2
83|807|2014|0|2
84|495|2014|0|2
85|533|2014|1|2
86|404|2014|0|2
87|403|2014|0|2
88|360|2014|0|2
89|717|2014|0|2
90|410|2014|0|2
91|425|2014|0|2
92|773|2014|0|2
93|308|2014|0|2
94|468|2014|0|2
95|1536|2014|0|2
96|416|2014|0|2
97|6710|2014|0|2
98|6120|2014|0|2
99|500|2014|0|2
100|311|2014|0|2
101|440|2014|0|2
102|741|2014|0|2
103|316|2014|0|2
104|315|2014|0|2
105|321|2014|0|2
106|6718|2014|0|2
107|414|2014|0|2
108|6116|2014|0|2
109|314|2014|0|2
110|439|2014|0|2
111|319|2014|0|2
112|418|2014|0|2
113|421|2014|0|2
114|422|2014|0|2
115|6242|2014|0|2
116|341|2014|1|2
117|6003|2014|1|2
118|6967|2014|0|2
119|747|2014|0|2
120|329|2014|0|2
121|5014|2014|0|2
122|438|2014|1|2
123|429|2014|1|2
124|337|2014|1|2
125|2205|2013|0|4
126|746|2013|0|4
127|460|2013|1|4
128|6708|2013|0|4
129|5016|2013|0|4
130|5018|2013|0|4
