ID|Code|IDPlayer|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro
0|MI11|Mi/A/Axel-Michon|16|12|1990|-1|-1|-1|-1
1|GB88|Top-Players/David-Goffin|7|12|1990|180|68|1|2009
2|S843|Top-Players/Potito-Starace|14|7|1981|188|84|1|2001
3|W503|Wa/J/James-D-Ward|9|2|1987|190|72|1|2006
4|R419|Top-Players/Tommy-Robredo|1|5|1982|180|75|1|1998
5|A678|Top-Players/Kevin-Anderson|18|5|1986|203|89|1|2007
6|H756|Top-Players/Robin-Haase|6|4|1987|190|77|1|2005
7|F444|Top-Players/Alejandro-Falla|14|11|1983|185|77|0|2000
8|MC10|Top-Players/Andy-Murray|15|5|1987|190|84|1|2005
9|Y124|Yo/D/Donald-Young|23|7|1989|183|79|0|2004
10|PC68|Pu/T/Tim-Puetz|19|11|1987|-1|-1|1|-1
11|K771|Il/M/Marsel-Ilhan|11|6|1987|190|78|1|2006
12|K540|Top-Players/Lukasz-Kubot|16|5|1982|190|86|1|2002
13|H355|Top-Players/Tommy-Haas|3|4|1978|188|84|1|1996
14|L797|La/L/Lukas-Lacko|3|11|1987|185|85|1|2005
15|A829|Al/R/Radu-Albot|11|11|1989|175|70|1|-1
16|MA21|Top-Players/Juan-Monaco|29|3|1984|185|81|1|2002
17|O234|Od/W/Wayne-Odesnik|21|11|1985|180|77|0|2004
18|G569|Gi/R/Robby-Ginepri|7|10|1982|183|79|1|2001
19|SM37|Sc/D/Diego-Schwartzman|16|8|1992|170|64|1|2010
20|I186|Top-Players/John-Isner|26|4|1985|208|108|1|2007
21|MF36|Me/M/Miloslav-Mecir|20|1|1988|190|86|1|-1
22|R782|Re/J/Julian-Reister|2|4|1986|188|87|1|2005
23|ME31|Mi/V/Vincent-Millot|30|1|1986|173|75|0|2007
24|PD07|Top-Players/Vasek-Pospisil|23|6|1990|193|84|1|2007
25|D864|Do/E/Evgeny-Donskoy|9|5|1990|185|74|1|-1
26|BA65|Top-Players/Dustin-Brown|8|12|1984|196|78|1|2002
27|SI57|Sm/D/Daniel-Smethurst|13|10|1990|188|83|1|2011
28|D752|De/N/Niels-Desein|9|6|1987|190|84|1|2007
29|BC72|Br/D/Daniel-Brands|17|7|1987|196|92|1|2005
30|D632|Da/S/Steve-Darcis|13|3|1984|178|73|1|2003
31|SH90|So/J/Joao-Sousa|30|3|1989|185|73|1|2005
