IDTournament|e|y|Indoor|TournamentType
0|580|2013|0|1
1|520|2013|0|1
2|540|2013|0|1
3|560|2013|0|1
4|339|2013|0|2
5|891|2013|0|2
6|451|2013|0|2
7|301|2013|0|2
8|338|2013|0|2
9|375|2013|1|2
10|505|2013|0|2
11|2276|2013|1|2
12|407|2013|1|2
13|424|2013|1|2
14|533|2013|1|2
15|506|2013|0|2
16|496|2013|1|2
17|402|2013|1|2
18|807|2013|0|2
19|499|2013|0|2
20|495|2013|0|2
21|404|2013|0|2
22|403|2013|0|2
23|360|2013|0|2
24|717|2013|0|2
25|410|2013|0|2
26|425|2013|0|2
27|773|2013|0|2
28|308|2013|0|2
29|468|2013|0|2
30|1536|2013|0|2
31|416|2013|0|2
32|6710|2013|0|2
33|6120|2013|0|2
34|500|2013|0|2
35|311|2013|0|2
36|440|2013|0|2
37|741|2013|0|2
38|316|2013|0|2
39|315|2013|0|2
40|321|2013|0|2
41|6718|2013|0|2
42|414|2013|0|2
43|6116|2013|0|2
44|314|2013|0|2
45|439|2013|0|2
46|319|2013|0|2
47|418|2013|0|2
48|421|2013|0|2
49|422|2013|0|2
50|6242|2013|0|2
51|341|2013|1|2
52|568|2013|1|2
53|1720|2013|1|2
54|6003|2013|1|2
55|747|2013|0|2
56|329|2013|0|2
57|5014|2013|0|2
58|438|2013|1|2
59|429|2013|1|2
60|337|2013|1|2
61|328|2013|1|2
62|573|2013|1|2
63|352|2013|1|2
64|605|2013|1|2
65|2205|2013|0|4
66|746|2013|0|4
67|460|2013|1|4
68|6708|2013|0|4
69|5016|2013|0|4
70|5018|2013|0|4
71|854|2013|1|4
72|695|2013|1|4
73|6714|2013|0|4
74|6239|2013|1|4
75|398|2013|1|4
76|59|2013|0|4
77|6720|2013|0|4
78|91|2013|1|4
79|3406|2013|0|4
80|6486|2013|0|4
81|1683|2013|1|4
82|3535|2013|1|4
83|6244|2013|0|4
84|5063|2013|0|4
85|213|2013|0|4
86|1539|2013|0|4
87|1796|2013|1|4
88|6250|2013|0|4
89|6284|2013|0|4
90|3407|2013|0|4
91|6488|2013|0|4
92|6724|2013|0|4
93|6566|2013|0|4
94|2151|2013|0|4
95|6256|2013|0|4
96|5069|2013|0|4
97|6492|2013|0|4
98|5067|2013|0|4
99|6572|2013|0|4
100|6722|2013|0|4
101|443|2013|0|4
102|1797|2013|0|4
103|692|2013|0|4
104|1541|2013|0|4
105|3967|2013|0|4
106|6726|2013|0|4
107|6532|2013|0|4
108|5057|2013|0|4
109|3824|2013|0|4
110|1741|2013|0|4
111|447|2013|0|4
112|558|2013|0|4
113|6564|2013|0|4
114|5049|2013|0|4
115|396|2013|0|4
116|1631|2013|0|4
117|6757|2013|0|4
118|853|2013|0|4
119|6286|2013|0|4
120|600|2013|0|4
121|3463|2013|0|4
122|6759|2013|0|4
123|6156|2013|0|4
124|526|2013|0|4
125|2121|2013|0|4
126|6787|2013|0|4
127|6570|2013|0|4
128|3627|2013|0|4
129|228|2013|0|4
130|6167|2013|0|4
131|226|2013|0|4
132|3945|2013|0|4
133|686|2013|0|4
134|670|2013|0|4
135|6791|2013|0|4
136|877|2013|0|4
137|786|2013|0|4
138|1743|2013|0|4
139|3618|2013|0|4
140|6793|2013|0|4
141|586|2013|0|4
142|252|2013|0|4
143|833|2013|0|4
144|6001|2013|0|4
145|221|2013|0|4
146|6795|2013|0|4
147|6807|2013|0|4
148|783|2013|0|4
149|254|2013|0|4
150|467|2013|0|4
151|6618|2013|0|4
152|841|2013|0|4
153|2120|2013|0|4
154|6114|2013|1|4
155|6809|2013|0|4
156|5047|2013|0|4
157|3473|2013|0|4
158|6313|2013|0|4
159|3626|2013|0|4
160|696|2013|0|4
161|1763|2013|0|4
162|6014|2013|0|4
163|1607|2013|0|4
164|3994|2013|0|4
165|6837|2013|0|4
166|3767|2013|0|4
167|6592|2013|1|4
168|784|2013|0|4
169|6307|2013|0|4
170|3834|2013|0|4
171|6490|2013|0|4
172|6839|2013|0|4
173|589|2013|0|4
174|448|2013|0|4
175|3628|2013|0|4
176|603|2013|0|4
177|6841|2013|0|4
178|2273|2013|1|4
179|6620|2013|0|4
180|6590|2013|0|4
181|3350|2013|1|4
182|3351|2013|0|4
183|6867|2013|0|4
184|3503|2013|1|4
185|6622|2013|0|4
186|6342|2013|0|4
187|4012|2013|0|4
188|1768|2013|0|4
189|6857|2013|1|4
190|722|2013|0|4
191|6861|2013|1|4
192|6863|2013|0|4
193|3584|2013|0|4
194|6055|2013|1|4
195|83|2013|1|4
196|471|2013|1|4
197|544|2013|0|4
198|545|2013|0|4
199|6865|2013|0|4
200|576|2013|0|4
201|444|2013|1|4
202|363|2013|1|4
203|6204|2013|1|4
204|6881|2013|0|4
205|6406|2013|0|4
206|637|2013|1|4
207|543|2013|0|4
208|305|2013|1|4
209|6579|2013|0|4
210|6626|2013|0|4
211|6911|2013|1|4
212|4042|2013|1|4
213|6630|2013|1|4
