ID|Code|IDPlayer|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro
0|B678|Top-Players/Michael-Berrer|1|7|1980|193|100|0|1999
1|N301|Na/D/David-Nalbandian|-1|-1|-1|180|79|1|2000
2|HB05|Ha/C/Christian-Harrison|29|5|1994|178|73|1|-1
3|GB88|Top-Players/David-Goffin|7|12|1990|180|68|1|2009
4|P436|Ph/B/Bjorn-Phau|4|10|1979|175|70|1|1999
5|R397|Top-Players/Olivier-Rochus|18|1|1981|168|65|1|1999
6|S843|Top-Players/Potito-Starace|14|7|1981|188|84|1|2001
7|S963|Se/F/Florent-Serra|28|2|1981|180|78|1|2000
8|M680|Top-Players/Xavier-Malisse|19|7|1980|185|83|1|1998
9|Z163|Zi/M/Mehdi-Ziadi|20|9|1986|-1|-1|-1|-1
10|P605|Po/J/Jaroslav-Pospisil|9|2|1981|-1|-1|1|-1
11|R419|Top-Players/Tommy-Robredo|1|5|1982|180|75|1|1998
12|SA93|Top-Players/Andreas-Seppi|21|2|1984|190|75|1|2002
13|H756|Top-Players/Robin-Haase|6|4|1987|190|77|1|2005
14|V620|Ve/A/Agustin-Velotti|24|5|1992|-1|-1|1|-1
15|Z168|Zv/M/Mischa-Zverev|22|8|1987|190|81|0|-1
16|DB59|De/N/Dennis-Novak|28|8|1993|-1|-1|1|-1
17|T762|To/J/Josko-Topic|8|12|1983|-1|-1|-1|-1
18|F444|Top-Players/Alejandro-Falla|14|11|1983|185|77|0|2000
19|MC10|Top-Players/Andy-Murray|15|5|1987|190|84|1|2005
20|M762|Top-Players/Jurgen-Melzer|22|5|1981|183|81|0|1999
21|K540|Top-Players/Lukasz-Kubot|16|5|1982|190|86|1|2002
22|G628|Top-Players/Richard-Gasquet|18|6|1986|185|75|1|2002
23|Z367|Za/M/Mousa-Shanan-Zayed|9|3|1994|-1|-1|-1|-1
24|TA29|Tr/M/Marco-Trungelliti|31|1|1990|178|78|1|2008
25|L797|La/L/Lukas-Lacko|3|11|1987|185|85|1|2005
26|MA21|Top-Players/Juan-Monaco|29|3|1984|185|81|1|2002
27|SL28|St/J/Jan-Lennard-Struff|25|4|1990|196|87|1|2009
28|MI43|Me/G/Gerald-Melzer|13|7|1990|188|85|0|-1
29|MB53|Me/A/Adrian-Menendez-Maceiras|28|10|1985|185|78|1|2005
30|O234|Od/W/Wayne-Odesnik|21|11|1985|180|77|0|2004
31|L799|Le/J/Jesse-Levine|15|10|1987|175|68|0|2007
32|SM37|Sc/D/Diego-Schwartzman|16|8|1992|170|64|1|2010
33|I186|Top-Players/John-Isner|26|4|1985|208|108|1|2007
34|SE73|Su/Y/Yuichi-Sugita|18|9|1988|-1|-1|1|-1
35|A457|Ag/J/Jorge-Aguilar|8|1|1985|178|75|1|-1
36|B752|Bo/S/Stephane-Bohli|25|7|1983|185|82|1|2002
37|KB92|Kr/K/Kevin-Krawietz|24|1|1992|190|83|1|2008
38|R782|Re/J/Julian-Reister|2|4|1986|188|87|1|2005
39|L908|La/N/Nils-Langer|25|1|1990|193|73|1|-1
40|SH90|So/J/Joao-Sousa|30|3|1989|185|73|1|2005
41|R548|Top-Players/Rajeev-Ram|18|3|1984|193|82|1|2004
42|KB14|Ki/K/Kevin-King|28|2|1991|190|86|0|-1
43|R383|Top-Players/Ruben-Ramirez-Hidalgo|6|1|1978|183|74|1|1998
44|DB63|Dj/L/Laslo-Djere|2|6|1995|-1|-1|1|-1
45|SG64|So/J/Joao-Souza|27|5|1988|193|88|1|2006
46|KE29|Kh/K/Karen-Khachanov|21|5|1996|198|88|1|-1
47|BA65|Top-Players/Dustin-Brown|8|12|1984|196|78|1|2002
48|MK66|Mc/M/Mackenzie-Mcdonald|16|4|1995|178|66|1|-1
49|BC76|Ba/N/Nicolas-Barrientos|24|4|1987|175|75|1|2009
50|BC72|Br/D/Daniel-Brands|17|7|1987|196|92|1|2005
51|D632|Da/S/Steve-Darcis|13|3|1984|178|73|1|2003
52|BA53|Ba/J/Jamie-Baker|5|8|1986|183|81|1|-1
53|T315|Top-Players/Dmitry-Tursunov|12|12|1982|185|82|1|2000
54|J361|Jo/G/Greg-Jones|31|1|1989|190|85|1|2007
55|BK85|Bo/R/Romain-Bogaerts|23|12|1993|188|76|0|-1
56|G858|Top-Players/Ernests-Gulbis|30|8|1988|190|85|1|2004
57|SF41|Se/A/Aldin-Setkic|21|12|1987|193|84|1|-1
58|G602|Gh/A/Andre-Ghem|29|5|1982|193|86|1|2003
59|H940|Top-Players/Ryan-Harrison|7|5|1992|188|84|1|2007
60|G714|Ga/D/Daniel-Garza|8|4|1985|-1|-1|1|-1
61|PC78|Pa/A/Ante-Pavic|7|3|1989|196|96|1|-1
62|MA30|Top-Players/Gilles-Muller|9|5|1983|193|92|0|2001
63|F510|Top-Players/Fabio-Fognini|24|5|1987|178|74|1|2004
64|CF01|Ce/M/Marco-Cecchinato|30|9|1992|185|77|1|2011
65|L428|Top-Players/Michael-Llodra|18|5|1980|190|80|0|1999
66|G569|Gi/R/Robby-Ginepri|7|10|1982|183|79|1|2001
67|SK47|Sa/M/Mohamed-Safwat|19|9|1990|183|74|1|-1
68|B747|Top-Players/Julien-Benneteau|20|12|1981|185|79|1|2000
69|Z272|Zh/Z/Ze-Zhang|4|7|1990|188|83|1|2005
70|W503|Wa/J/James-D-Ward|9|2|1987|190|72|1|2006
71|PC11|Pe/G/Guido-Pella|17|5|1990|185|83|0|2007
72|G476|Top-Players/Guillermo-Garcia-Lopez|4|6|1983|188|82|-1|2002
73|G621|Gu/C/Chris-Guccione|30|7|1985|201|92|0|2003
74|W522|Wi/R/Rhyne-R-Williams|22|3|1991|185|84|1|2011
75|C582|Ch/M/Marco-Chiudinelli|10|9|1981|188|79|1|2000
76|F580|Fi/M/Martin-Fischer|21|7|1986|180|71|1|2005
77|G922|Gr/G/Gerard-Granollers|30|1|1989|-1|-1|-1|-1
78|TB69|Top-Players/Dominic-Thiem|3|9|1993|185|82|1|2011
79|K403|Ku/I/Igor-Kunitsyn|30|9|1981|180|75|1|1999
80|V250|Vi/A/Andreas-Vinciguerra|19|2|1981|180|73|0|1998
81|PD07|Top-Players/Vasek-Pospisil|23|6|1990|193|84|1|2007
82|V254|Vo/F/Filippo-Volandri|5|9|1981|183|73|1|1997
83|A596|Top-Players/Pablo-Andujar|23|1|1986|180|76|1|-1
84|H571|Ha/J/Jan-Hajek|7|8|1983|180|80|1|2000
85|G710|Top-Players/Marcel-Granollers|12|4|1986|190|77|1|2003
86|B837|Top-Players/Marcos-Baghdatis|17|6|1985|178|82|1|2003
87|R847|Ra/Y/Younes-Rachidi|13|9|1986|-1|-1|-1|-1
88|R772|Top-Players/Albert-Ramos-Vinolas|17|1|1988|188|80|0|2007
89|J194|Jo/J/Joachim-Johansson|1|7|1982|198|90|1|2000
90|N289|Top-Players/Jarkko-Nieminen|23|7|1981|185|78|0|2000
91|BE67|Ba/M/Mirza-Basic|12|7|1991|188|87|-1|-1
92|Y124|Yo/D/Donald-Young|23|7|1989|183|79|0|2004
93|CC32|Cl/G/Guilherme-Clezar|31|12|1992|183|79|1|2009
94|Z189|Ze/G/Grega-Zemlja|29|9|1986|183|81|1|2004
95|Z254|Zo/J/Jurgen-Zopp|29|3|1988|190|88|1|2008
96|D683|Top-Players/Juan-Martin-Del-Potro|23|9|1988|198|97|1|2005
97|Q927|Top-Players/Sam-Querrey|7|10|1987|198|91|1|2006
98|D750|De/K/Kenny-De-Schepper|29|5|1987|203|102|0|2010
99|T786|Top-Players/Jo-Wilfried-Tsonga|17|4|1985|188|91|1|2004
100|D752|De/N/Niels-Desein|9|6|1987|190|84|1|2007
101|M708|Me/R/Ricardo-Mello|21|12|1980|175|73|0|1999
102|SK94|St/C/Cedrik-Marcel-Stebe|9|10|1990|183|72|0|2010
103|L987|La/D/Dusan-Lajovic|30|6|1990|183|79|1|-1
104|Z184|Top-Players/Horacio-Zeballos|27|4|1985|188|83|0|2003
105|D776|De/T/Thiemo-De-Bakker|19|9|1988|193|83|1|-1
106|D994|Du/J/James-Duckworth|21|1|1992|183|82|1|2007
107|A479|Top-Players/Nicolas-Almagro|21|8|1985|183|84|1|2003
108|K688|Ki/D/Daniel-King-Turner|15|5|1984|190|-1|1|-1
109|M850|Top-Players/Paul-Henri-Mathieu|12|1|1982|185|74|1|1999
110|F339|Top-Players/Mardy-Fish|9|12|1981|188|82|1|2000
111|PF39|Po/L/Lucas-Pouille|23|2|1994|185|81|1|-1
112|R483|Re/B/Bobby-Reynolds|17|7|1982|183|77|1|2003
113|TB70|Tr/W/Wishaya-Trongcharoenchaikul|8|4|1995|-1|-1|1|-1
114|SJ15|Se/M/Milos-Sekulic|4|11|1989|188|75|1|2008
115|R368|Ru/M/Michael-Russell|1|5|1978|173|70|1|1998
116|R685|Top-Players/Lukas-Rosol|24|7|1985|196|81|1|2004
117|PB22|Po/P/Peter-Polansky|15|6|1988|180|70|1|2006
118|V306|Top-Players/Fernando-Verdasco|15|11|1983|188|88|0|2001
119|K926|Top-Players/Mikhail-Kukushkin|26|12|1987|183|72|1|-1
120|BF27|Bo/A/Adrien-Bossel|28|12|1986|-1|-1|-1|-1
121|CH27|Ch/H/Hyeon-Chung|19|5|1996|-1|-1|-1|-1
122|AC23|Al/J/Jabor-Mohammed-Ali-Mutawa|27|5|1994|-1|-1|-1|-1
123|M655|Ma/N/Nicolas-Massu|10|10|1979|183|80|1|1997
124|U061|Un/A/Adrian-Ungur|22|1|1985|178|73|1|2003
125|ME89|Ma/I/Illya-Marchenko|8|9|1987|185|78|1|-1
126|G676|Gi/D/Daniel-Gimeno-Traver|7|8|1985|183|80|1|2004
127|GD64|Ga/C/Christian-Garin|30|5|1996|183|81|1|-1
128|ME82|Ma/A/Adrian-Mannarino|29|6|1988|183|69|0|2005
129|D616|Top-Players/Somdev-K-Devvarman|13|2|1985|180|73|1|2008
130|Y218|Ym/E/Elias-Ymer|10|4|1996|183|79|1|-1
131|ME05|Top-Players/Marinko-Matosevic|8|8|1985|193|86|1|2003
132|CF59|Ca/R/Roberto-Carballes-Baena|23|3|1993|180|76|1|-1
133|KB09|Ku/D/Denis-Kudla|17|8|1992|180|75|1|-1
134|G940|Gr/S/Sam-Groth|19|10|1987|193|98|1|2006
135|BA98|Top-Players/Simone-Bolelli|8|10|1985|183|79|1|2003
136|KB05|Kr/F/Filip-Krajinovic|27|2|1992|185|75|1|2009
137|R975|Top-Players/Milos-Raonic|27|12|1990|196|98|1|2008
138|SC73|Du/R/Rogerio-Dutra-Silva|3|2|1984|178|73|1|2010
139|M824|Top-Players/Albert-Montanes|26|11|1980|175|70|1|1999
140|I200|In/D/Dominic-Inglot|6|3|1986|196|95|1|-1
141|C856|Cr/V/Victor-Crivoi|25|5|1982|185|75|1|2003
142|PF00|Pa/M/Mate-Pavic|4|7|1993|188|78|0|-1
143|F324|Top-Players/Roger-Federer|8|8|1981|185|85|1|1998
144|A678|Top-Players/Kevin-Anderson|18|5|1986|203|89|1|2007
145|D499|Da/F/Frank-Dancevic|26|9|1984|185|79|1|2003
146|KA98|Kl/B/Bradley-Klahn|20|8|1990|183|75|0|2012
147|N437|Na/G/Gianluca-Naso|6|1|1987|-1|-1|1|-1
148|V564|Ve/A/Antonio-Veic|18|2|1988|180|74|1|2006
149|SF62|Sm/T/Tim-Smyczek|30|12|1987|175|73|1|2006
150|D864|Do/E/Evgeny-Donskoy|9|5|1990|185|74|1|-1
151|H355|Top-Players/Tommy-Haas|3|4|1978|188|84|1|1996
152|K839|Ka/T/Tobias-Kamke|21|5|1986|178|74|1|2004
153|R750|Ri/P/Pere-Riba|7|4|1988|183|79|1|-1
154|CD85|Ca/P/Pablo-Carreno-Busta|12|7|1991|188|74|1|2009
155|K834|Ka/B/Blaz-Kavcic|5|3|1987|188|79|1|2005
156|L480|Top-Players/Marc-Lopez|31|7|1982|175|72|1|1999
157|GA36|Go/E/Emilio-Gomez|28|11|1991|-1|-1|1|-1
158|MH98|Ma/D/Dino-Marcan|12|2|1991|-1|-1|-1|-1
159|N503|Ne/A/Aleksandr-Nedovyesov|15|2|1987|193|81|1|2005
160|R613|Top-Players/Edouard-Roger-Vasselin|28|11|1983|188|75|1|2002
161|C977|Top-Players/Marin-Cilic|28|9|1988|198|82|1|2005
162|MD56|Top-Players/Leonardo-Mayer|15|5|1987|188|83|1|2003
163|BD20|Top-Players/Thomaz-Bellucci|30|12|1987|188|82|0|2005
164|G822|Gh/R/Riccardo-Ghedin|5|12|1985|188|73|1|-1
165|I230|It/T/Tatsuma-Ito|18|5|1988|180|75|1|2006
166|C723|Ci/F/Flavio-Cipolla|20|10|1983|173|74|1|2003
