e|y
580|2010
520|2010
540|2010
560|2010
580|2011
520|2011
540|2011
560|2011
580|2012
520|2012
540|2012
560|2012
580|2013
520|2013
540|2013
560|2013
580|2014
520|2014
540|2014
560|2014
339|2010
891|2010
451|2010
301|2010
338|2010
5012|2010
505|2010
2276|2010
533|2010
407|2010
424|2010
506|2010
496|2010
402|2010
807|2010
499|2010
495|2010
404|2010
403|2010
360|2010
717|2010
410|2010
425|2010
416|2010
308|2010
5053|2010
468|2010
1536|2010
6120|2010
615|2010
500|2010
311|2010
741|2010
440|2010
315|2010
316|2010
321|2010
6116|2010
414|2010
314|2010
423|2010
439|2010
418|2010
421|2010
422|2010
3348|2010
773|2010
341|2010
1720|2010
6003|2010
747|2010
329|2010
5014|2010
438|2010
429|2010
375|2010
568|2010
337|2010
573|2010
328|2010
352|2010
605|2010
339|2011
891|2011
451|2011
301|2011
338|2011
5012|2011
505|2011
2276|2011
533|2011
407|2011
424|2011
506|2011
496|2011
402|2011
807|2011
499|2011
495|2011
404|2011
403|2011
360|2011
717|2011
410|2011
425|2011
308|2011
5053|2011
468|2011
1536|2011
416|2011
6120|2011
615|2011
500|2011
311|2011
741|2011
440|2011
315|2011
316|2011
321|2011
6116|2011
414|2011
314|2011
423|2011
439|2011
319|2011
418|2011
421|2011
422|2011
6242|2011
773|2011
341|2011
1720|2011
6003|2011
747|2011
329|2011
5014|2011
438|2011
429|2011
568|2011
337|2011
328|2011
573|2011
352|2011
605|2011
339|2012
891|2012
451|2012
301|2012
338|2012
375|2012
505|2012
2276|2012
407|2012
424|2012
533|2012
506|2012
496|2012
402|2012
807|2012
499|2012
495|2012
404|2012
403|2012
360|2012
717|2012
410|2012
425|2012
773|2012
5053|2012
468|2012
308|2012
1536|2012
416|2012
6120|2012
500|2012
311|2012
440|2012
741|2012
316|2012
315|2012
321|2012
439|2012
6116|2012
314|2012
414|2012
319|2012
423|2012
96|2012
418|2012
421|2012
422|2012
6242|2012
341|2012
568|2012
1720|2012
6003|2012
747|2012
329|2012
5014|2012
438|2012
429|2012
337|2012
573|2012
328|2012
352|2012
605|2012
339|2013
891|2013
451|2013
301|2013
338|2013
375|2013
505|2013
2276|2013
407|2013
424|2013
533|2013
506|2013
496|2013
402|2013
807|2013
499|2013
495|2013
404|2013
403|2013
360|2013
717|2013
410|2013
425|2013
773|2013
308|2013
468|2013
1536|2013
416|2013
6710|2013
6120|2013
500|2013
311|2013
440|2013
741|2013
316|2013
315|2013
321|2013
6718|2013
414|2013
6116|2013
314|2013
439|2013
319|2013
418|2013
421|2013
422|2013
6242|2013
341|2013
568|2013
1720|2013
6003|2013
747|2013
329|2013
5014|2013
438|2013
429|2013
337|2013
328|2013
573|2013
352|2013
605|2013
339|2014
891|2014
451|2014
301|2014
338|2014
375|2014
505|2014
2276|2014
506|2014
402|2014
407|2014
499|2014
496|2014
6932|2014
807|2014
495|2014
533|2014
404|2014
403|2014
360|2014
717|2014
410|2014
425|2014
773|2014
308|2014
468|2014
1536|2014
416|2014
6710|2014
6120|2014
500|2014
311|2014
440|2014
741|2014
316|2014
315|2014
321|2014
6718|2014
414|2014
6116|2014
314|2014
439|2014
319|2014
418|2014
421|2014
422|2014
6242|2014
341|2014
6003|2014
6967|2014
747|2014
329|2014
5014|2014
2205|2010
746|2010
59|2010
5016|2010
460|2010
6112|2010
5018|2010
695|2010
6114|2010
854|2010
835|2010
3769|2010
3767|2010
398|2010
91|2010
3566|2010
1683|2010
5049|2010
3585|2010
2207|2010
60|2010
4040|2010
3535|2010
443|2010
1796|2010
359|2010
2208|2010
3810|2010
3407|2010
5055|2010
1539|2010
5063|2010
2151|2010
3801|2010
5059|2010
5057|2010
692|2010
2121|2010
1797|2010
5061|2010
1541|2010
6123|2010
3909|2010
284|2010
5067|2010
6125|2010
3824|2010
1741|2010
5069|2010
588|2010
3812|2010
603|2010
3837|2010
3590|2010
396|2010
1631|2010
2212|2010
558|2010
6127|2010
853|2010
469|2010
3591|2010
3463|2010
6156|2010
1738|2010
2119|2010
526|2010
1543|2010
228|2010
833|2010
472|2010
3945|2010
686|2010
467|2010
576|2010
2117|2010
586|2010
6001|2010
3468|2010
786|2010
1743|2010
2120|2010
877|2010
2118|2010
221|2010
6167|2010
849|2010
6169|2010
841|2010
783|2010
254|2010
670|2010
6171|2010
226|2010
447|2010
1604|2010
3967|2010
6173|2010
3957|2010
3618|2010
471|2010
486|2010
3473|2010
3626|2010
696|2010
1763|2010
3586|2010
784|2010
6014|2010
5047|2010
1607|2010
6195|2010
448|2010
3627|2010
660|2010
6197|2010
3352|2010
3834|2010
754|2010
3628|2010
3994|2010
544|2010
3635|2010
722|2010
3350|2010
6016|2010
589|2010
3351|2010
3476|2010
587|2010
3503|2010
4012|2010
1768|2010
656|2010
2273|2010
6068|2010
545|2010
6066|2010
6202|2010
6055|2010
83|2010
252|2010
824|2010
543|2010
363|2010
6206|2010
6204|2010
444|2010
4041|2010
637|2010
6059|2010
6208|2010
305|2010
4042|2010
2205|2011
746|2011
5016|2011
460|2011
6112|2011
6232|2011
5018|2011
6234|2011
6114|2011
854|2011
2153|2011
6239|2011
3767|2011
3584|2011
504|2011
398|2011
695|2011
59|2011
91|2011
3406|2011
1683|2011
3766|2011
6244|2011
3566|2011
3535|2011
6199|2011
6246|2011
5049|2011
3585|2011
6248|2011
60|2011
6250|2011
1796|2011
2208|2011
5063|2011
6254|2011
3801|2011
3407|2011
5055|2011
2151|2011
692|2011
443|2011
6256|2011
1539|2011
1797|2011
5069|2011
600|2011
5057|2011
5067|2011
3824|2011
1741|2011
588|2011
3812|2011
603|2011
3837|2011
396|2011
1631|2011
558|2011
3586|2011
853|2011
6286|2011
3463|2011
6284|2011
6156|2011
526|2011
1543|2011
228|2011
833|2011
472|2011
3945|2011
686|2011
467|2011
576|2011
877|2011
6158|2011
3468|2011
586|2011
2121|2011
6001|2011
786|2011
3618|2011
6290|2011
1743|2011
221|2011
6300|2011
6167|2011
849|2011
783|2011
1604|2011
254|2011
670|2011
447|2011
841|2011
2120|2011
3967|2011
3957|2011
6202|2011
486|2011
5047|2011
3473|2011
3626|2011
696|2011
1763|2011
784|2011
6313|2011
6014|2011
1607|2011
234|2011
226|2011
6305|2011
448|2011
3627|2011
660|2011
3994|2011
6307|2011
3834|2011
754|2011
4012|2011
3628|2011
6309|2011
6050|2011
3635|2011
6311|2011
3350|2011
6016|2011
3351|2011
3503|2011
1768|2011
2273|2011
589|2011
545|2011
6342|2011
6055|2011
83|2011
252|2011
6344|2011
722|2011
471|2011
363|2011
6206|2011
6204|2011
6406|2011
444|2011
637|2011
544|2011
6059|2011
543|2011
305|2011
4042|2011
2205|2012
746|2012
460|2012
6112|2012
5016|2012
5018|2012
6114|2012
2153|2012
695|2012
6239|2012
854|2012
3767|2012
504|2012
3584|2012
398|2012
6479|2012
59|2012
6232|2012
91|2012
3406|2012
6284|2012
6248|2012
3566|2012
1683|2012
6486|2012
6246|2012
3585|2012
3535|2012
6250|2012
6244|2012
60|2012
213|2012
1796|2012
692|2012
3407|2012
1539|2012
6488|2012
5063|2012
2151|2012
6256|2012
5069|2012
6490|2012
443|2012
6492|2012
5067|2012
1797|2012
1541|2012
3801|2012
1741|2012
600|2012
6532|2012
5057|2012
3824|2012
603|2012
558|2012
5049|2012
396|2012
1631|2012
853|2012
2208|2012
6286|2012
6156|2012
3463|2012
526|2012
6579|2012
228|2012
6564|2012
6566|2012
576|2012
3945|2012
686|2012
6570|2012
6572|2012
6574|2012
670|2012
877|2012
3468|2012
786|2012
1743|2012
3618|2012
586|2012
833|2012
6001|2012
221|2012
6576|2012
6167|2012
2121|2012
254|2012
467|2012
472|2012
447|2012
841|2012
6590|2012
2120|2012
3967|2012
783|2012
5047|2012
3473|2012
6313|2012
3626|2012
696|2012
1763|2012
6014|2012
1607|2012
3994|2012
226|2012
6305|2012
6592|2012
784|2012
3627|2012
6307|2012
3834|2012
448|2012
3628|2012
6614|2012
6050|2012
2273|2012
6616|2012
3350|2012
589|2012
3351|2012
3503|2012
6622|2012
4012|2012
1768|2012
6618|2012
6624|2012
722|2012
6620|2012
545|2012
6055|2012
83|2012
471|2012
252|2012
544|2012
444|2012
543|2012
363|2012
6206|2012
6204|2012
6344|2012
637|2012
305|2012
6628|2012
6626|2012
4042|2012
6630|2012
6406|2012
2205|2013
746|2013
460|2013
6708|2013
5016|2013
5018|2013
854|2013
695|2013
6714|2013
6239|2013
398|2013
59|2013
6720|2013
91|2013
3406|2013
6486|2013
1683|2013
3535|2013
6244|2013
5063|2013
213|2013
1539|2013
1796|2013
6250|2013
6284|2013
3407|2013
6488|2013
6724|2013
6566|2013
2151|2013
6256|2013
5069|2013
6492|2013
5067|2013
6572|2013
6722|2013
443|2013
1797|2013
692|2013
1541|2013
3967|2013
6726|2013
6532|2013
5057|2013
3824|2013
1741|2013
447|2013
558|2013
6564|2013
5049|2013
396|2013
1631|2013
6757|2013
853|2013
6286|2013
600|2013
3463|2013
6759|2013
6156|2013
526|2013
2121|2013
6787|2013
6570|2013
3627|2013
228|2013
6167|2013
226|2013
3945|2013
686|2013
670|2013
6791|2013
877|2013
786|2013
1743|2013
3618|2013
6793|2013
586|2013
252|2013
833|2013
6001|2013
221|2013
6795|2013
6807|2013
783|2013
254|2013
467|2013
6618|2013
841|2013
2120|2013
6114|2013
6809|2013
5047|2013
3473|2013
6313|2013
3626|2013
696|2013
1763|2013
6014|2013
1607|2013
3994|2013
6837|2013
3767|2013
6592|2013
784|2013
6307|2013
3834|2013
6490|2013
6839|2013
589|2013
448|2013
3628|2013
603|2013
6841|2013
2273|2013
6620|2013
6590|2013
3350|2013
3351|2013
6867|2013
3503|2013
6622|2013
6342|2013
4012|2013
1768|2013
6857|2013
722|2013
6861|2013
6863|2013
3584|2013
6055|2013
83|2013
471|2013
544|2013
545|2013
6865|2013
576|2013
444|2013
363|2013
6204|2013
6881|2013
6406|2013
637|2013
543|2013
305|2013
6579|2013
6626|2013
6911|2013
4042|2013
6630|2013
2205|2014
746|2014
5016|2014
460|2014
6708|2014
5018|2014
6946|2014
6957|2014
695|2014
6714|2014
854|2014
6959|2014
6239|2014
3618|2014
6963|2014
6961|2014
398|2014
6965|2014
59|2014
91|2014
6486|2014
6114|2014
6566|2014
3535|2014
6284|2014
6250|2014
6244|2014
1539|2014
1796|2014
3407|2014
6488|2014
213|2014
3406|2014
6492|2014
5069|2014
6256|2014
5067|2014
7004|2014
7006|2014
6572|2014
3994|2014
1797|2014
2278|2014
692|2014
1541|2014
7009|2014
7011|2014
2151|2014
3824|2014
1741|2014
7013|2014
447|2014
3967|2014
7015|2014
6564|2014
396|2014
7021|2014
1631|2014
558|2014
6757|2014
5049|2014
603|2014
853|2014
6286|2014
600|2014
3463|2014
7025|2014
7023|2014
6156|2014
7027|2014
7029|2014
526|2014
2121|2014
3627|2014
228|2014
6787|2014
3945|2014
686|2014
670|2014
877|2014
6490|2014
786|2014
1743|2014
7071|2014
586|2014
833|2014
221|2014
7073|2014
6795|2014
783|2014
254|2014
467|2014
7077|2014
841|2014
2120|2014
6809|2014
5047|2014
3473|2014
3626|2014
696|2014
1763|2014
252|2014
6313|2014
6014|2014
1607|2014
7085|2014
7083|2014
784|2014
448|2014
6307|2014
3834|2014
7093|2014
589|2014
3628|2014
7095|2014
6841|2014
2273|2014
5063|2014
6620|2014
6590|2014
7075|2014
3350|2014
3351|2014
3503|2014
4012|2014
1768|2014
