IDTournament|Tournament|Indoor|TournamentType|Surface|Country|TournamentPrize|Draw|TournamentStart|TournamentEnd|e|y
0|Australian Open|0|{'y': 2010, 'e': 580}|Hard|Australia|A$11048640|128|18.01.2010|31.01.2010|580|2010
1|Roland Garros|0|{'y': 2010, 'e': 520}|Clay|France|Ç7580800|128|24.05.2010|06.06.2010|520|2010
2|Wimbledon|0|{'y': 2010, 'e': 540}|Grass|Great Britain|ú6196000|128|21.06.2010|04.07.2010|540|2010
3|US Open|0|{'y': 2010, 'e': 560}|Hard|NY, U.S.A.|$10508000|128|30.08.2010|12.09.2010|560|2010
4|Australian Open|0|{'y': 2011, 'e': 580}|Hard|Australia|A$11414950|128|17.01.2011|30.01.2011|580|2011
5|Roland Garros|0|{'y': 2011, 'e': 520}|Clay|France|Ç7884000|128|23.05.2011|05.06.2011|520|2011
6|Wimbledon|0|{'y': 2011, 'e': 540}|Grass|Great Britain|ú6631000|128|20.06.2011|03.07.2011|540|2011
7|US Open|0|{'y': 2011, 'e': 560}|Hard|NY, U.S.A.|$10768000|128|29.08.2011|11.09.2011|560|2011
8|Australian Open|0|{'y': 2012, 'e': 580}|Hard|Australia|A$11806550|128|16.01.2012|29.01.2012|580|2012
9|Roland Garros|0|{'y': 2012, 'e': 520}|Clay|France|Ç8487000|128|28.05.2012|10.06.2012|520|2012
10|Wimbledon|0|{'y': 2012, 'e': 540}|Grass|Great Britain|ú7285200|128|25.06.2012|08.07.2012|540|2012
11|US Open|0|{'y': 2012, 'e': 560}|Hard|NY, U.S.A.|$11777000|128|27.08.2012|09.09.2012|560|2012
12|Australian Open|0|{'y': 2013, 'e': 580}|Hard|Australia|A$13803160|128|14.01.2013|27.01.2013|580|2013
13|Roland Garros|0|{'y': 2013, 'e': 520}|Clay|France|€10104000|128|27.05.2013|09.06.2013|520|2013
14|Wimbledon|0|{'y': 2013, 'e': 540}|Grass|Great Britain|£10514000|128|24.06.2013|07.07.2013|540|2013
15|US Open|0|{'y': 2013, 'e': 560}|Hard|NY, U.S.A.|$16102000|128|26.08.2013|08.09.2013|560|2013
16|Australian Open|0|{'y': 2014, 'e': 580}|Hard|Australia|A$14982200|128|13.01.2014|26.01.2014|580|2014
17|Roland Garros|0|{'y': 2014, 'e': 520}|Clay|France|€11552000|128|26.05.2014|08.06.2014|520|2014
18|Wimbledon|0|{'y': 2014, 'e': 540}|Grass|Great Britain|£11715000|128|23.06.2014|06.07.2014|540|2014
19|US Open|0|{'y': 2014, 'e': 560}|Hard|NY, U.S.A.|$17851868|128|25.08.2014|07.09.2014|560|2014
20|Brisbane International presented by Suncorp|0|{'y': 2010, 'e': 339}|Hard|Australia|$372500|32|04.01.2010|10.01.2010|339|2010
21|Aircel Chennai Open|0|{'y': 2010, 'e': 891}|Hard|India|$398250|32|04.01.2010|10.01.2010|891|2010
22|Qatar ExxonMobil Open|0|{'y': 2010, 'e': 451}|Hard|Qatar|$1024000|32|04.01.2010|10.01.2010|451|2010
23|Heineken Open|0|{'y': 2010, 'e': 301}|Hard|New Zealand|$355500|32|11.01.2010|17.01.2010|301|2010
24|Apia International Sydney|0|{'y': 2010, 'e': 338}|Hard|Australia|$372500|32|11.01.2010|17.01.2010|338|2010
25|SA Tennis Open|0|{'y': 2010, 'e': 5012}|Hard|South Africa|$442500|32|01.02.2010|07.02.2010|5012|2010
26|Royal Guard Open Chile |0|{'y': 2010, 'e': 505}|Clay|Chile|$398250|32|01.02.2010|07.02.2010|505|2010
27|PBZ Zagreb Indoors|1|{'y': 2010, 'e': 2276}|Hard|Croatia|Ç398250|32|01.02.2010|07.02.2010|2276|2010
28|Brasil Open 2014|0|{'y': 2010, 'e': 533}|Clay|Brazil|$442500|32|08.02.2010|14.02.2010|533|2010
29|ABN AMRO World Tennis Tournament|1|{'y': 2010, 'e': 407}|Hard|The Netherlands|Ç1150000|32|08.02.2010|14.02.2010|407|2010
30|SAP Open|1|{'y': 2010, 'e': 424}|Hard|CA, U.S.A.|$531000|32|08.02.2010|14.02.2010|424|2010
31|Copa Claro|0|{'y': 2010, 'e': 506}|Clay|Argentina|$475300|32|15.02.2010|21.02.2010|506|2010
32|Open 13|1|{'y': 2010, 'e': 496}|Hard|France|Ç512750|32|15.02.2010|21.02.2010|496|2010
33|U.S. National Indoor Tennis Championships|1|{'y': 2010, 'e': 402}|Hard|TN, U.S.A.|$1100000|32|15.02.2010|21.02.2010|402|2010
34|Abierto Mexicano Telcel|0|{'y': 2010, 'e': 807}|Clay|Mexico|$955000|32|22.02.2010|28.02.2010|807|2010
35|Delray Beach Open by The  Venetian® Las Vegas|0|{'y': 2010, 'e': 499}|Hard|FL, U.S.A.|$442500|32|22.02.2010|28.02.2010|499|2010
36|Dubai Duty Free Tennis Championships|0|{'y': 2010, 'e': 495}|Hard|U.A.E.|$1619500|32|22.02.2010|28.02.2010|495|2010
37|BNP Paribas Open|0|{'y': 2010, 'e': 404}|Hard|CA, U.S.A.|$3645000|128|08.03.2010|21.03.2010|404|2010
