ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
0|S786|Si/M/Marc-Silva|Marc Silva|30|8|1976|-1|-1|1|-1|United States
1|MG25|Ma/J/Jacopo-Marchegiani|Jacopo Marchegiani|29|3|1986|-1|-1|-1|-1|Italy
2|H471|Ha/J/Juraj-Hasko|Juraj Hasko|19|1|1978|-1|-1|1|-1|Slovakia
3|W212|Wo/C/Chris-Woodruff|Chris Woodruff|2|1|1973|188|82|1|1993|United States
4|W214|Wa/M/Mashiska-Washington|Mashiska Washington|19|12|1974|180|70|1|1995|United States
5|W217|We/G/Glenn-Weiner|Glenn Weiner|27|4|1976|188|79|1|1994|United States
6|B763|Bi/A/Adriano-Biasella|Adriano Biasella|1|9|1980|-1|-1|1|-1|Italy
7|PG69|Pa/J/Juan-Pablo-Paz|Juan Pablo Paz|4|1|1995|170|-1|1|-1|Argentina
8|B761|Ba/J/Juan-Carlos-Baca|Juan Carlos Baca|26|4|1980|-1|-1|1|-1|Mexico
9|B765|Ba/B/Brian-Battistone|Brian Battistone|10|8|1979|190|82|1|2007|United States
10|B764|Br/J/Juan-Pablo-Brzezicki|Juan Pablo Brzezicki|12|4|1982|178|72|1|2001|Argentina
11|L557|Le/C/Chul-Hee-Lee|Chul Hee Lee|9|10|1979|-1|-1|-1|-1|Korea, Republic of
12|L554|La/S/Savino-Lapalombella|Savino Lapalombella|12|2|1979|-1|-1|-1|-1|Italy
13|K676|Ki/M/Marc-Kimmich|Marc Kimmich|21|1|1983|183|81|1|1999|Australia
14|K674|Ku/T/Tomonori-Kuniyoshi|Tomonori Kuniyoshi|23|9|1980|-1|-1|-1|-1|Japan
15|K675|Ki/S/Sun-Yong-Kim-Jr|Sun Yong Kim Jr|26|5|1987|-1|-1|1|-1|Korea, Republic of
16|G904|Gu/E/Eduardo-Gutierrez|Eduardo Gutiérrez|4|2|1985|-1|-1|-1|-1|Bolivia
17|G905|Ga/P/Peng-Gao|Peng Gao|2|8|1987|-1|-1|-1|-1|China
18|L559|Le/Y/Yeon-Wook-Lee|Yeon Wook Lee|16|1|1981|-1|-1|-1|-1|Korea, Republic of
19|MF57|Mc/M/Michael-Mcclune|Michael Mcclune|22|8|1989|188|84|1|2007|United States
20|L797|La/L/Lukas-Lacko|Lukáš Lacko|3|11|1987|185|85|1|2005|Slovakia
21|MA21|Top-Players/Juan-Monaco|Juan Mónaco|29|3|1984|185|81|1|2002|Argentina
22|W679|Wa/C/Chieh-Fu-Wang|Chieh Fu Wang|11|9|1993|-1|-1|-1|-1|CHINESE TAIPEI ( TAIWAN )
23|D422|Du/J/Johan-Du-Randt|Johan Du Randt|23|12|1977|-1|-1|-1|-1|South Africa
24|F278|Fr/P/Patrik-Fredriksson|Patrik Fredriksson|16|5|1973|185|76|1|1995|Sweden
25|O234|Od/W/Wayne-Odesnik|Wayne Odesnik|21|11|1985|180|77|0|2004|United States
26|L799|Le/J/Jesse-Levine|Jesse Levine|15|10|1987|175|68|0|2007|Canada
27|D424|De/R/Rik-De-Voest|Rik de Voest|5|6|1980|180|68|1|1999|South Africa
28|E248|Er/B/Baris-Erguden|Baris Erguden|1|1|1986|-1|-1|-1|-1|Turkey
29|W320|We/D/Daniel-Wendler|Daniel Wendler|23|10|1982|-1|-1|1|-1|Australia
30|H933|He/K/Kaden-Hensel|Kaden Hensel|5|6|1986|-1|-1|-1|-1|Australia
31|W459|Wr/A/Alan-Wright|Alan Wright|1|3|1988|-1|-1|1|-1|Great Britain
32|PB48|Pa/F/Federico-Paskvan|Federico Paskvan|15|4|1987|-1|-1|-1|-1|Argentina
33|PB49|Pa/J/Juan-Martin-Paredes|Juan Martin Paredes|28|2|1989|-1|-1|-1|-1|Ecuador
34|B619|Bl/T/Thomas-Blake|Thomas Blake|29|12|1976|-1|88|1|1999|United States
35|I158|Iv/M/Mirko-Ivanda|Mirko Ivanda|20|12|1981|-1|-1|-1|-1|Croatia
36|RA82|Re/Y/Yannik-Reuter|Yannik Reuter|6|3|1991|-1|-1|-1|-1|Belgium
37|TC58|Ta/C/Chih-Chun-Tang|Chih Chun Tang|20|9|1995|-1|-1|-1|-1|CHINESE TAIPEI ( TAIWAN )
38|SC60|Se/Y/Yong-Bum-Seo|Yong Bum Seo|15|5|1983|-1|-1|-1|-1|Korea, Republic of
39|DA81|Da/T/Taro-Daniel|Taro Daniel|27|1|1993|190|76|1|2010|Japan
40|RB17|Ru/A/Alexander-Rumyantsev|Alexander Rumyantsev|16|8|1992|-1|-1|-1|-1|Russian Federation
41|T222|Tr/W/Walter-Treu|Walter Treu|18|6|1972|-1|-1|1|-1|Austria
42|U046|Ue/G/Gordon-Uehling|Gordon Uehling|30|12|1972|-1|-1|1|-1|United States
43|U045|Ue/L/Lars-Uebel|Lars Uebel|14|10|1980|-1|-1|1|-1|Germany
44|U044|Up/V/Vishal-Uppal|Vishal Uppal|10|11|1976|-1|-1|1|-1|India
45|U043|Ud/D/Danai-Udomchoke|Danai Udomchoke|11|8|1981|173|64|1|1997|Thailand
46|BE69|Ba/Y/Yan-Bai|Yan Bai|21|5|1989|-1|-1|-1|-1|China
47|BE68|Br/T/Tomislav-Brkic|Tomislav Brkić|9|3|1990|185|77|-1|2008|Bosnia and Herzegovina
48|P518|Pa/F/Felipe-Parada|Felipe Parada|16|5|1981|175|72|1|2000|Chile
49|P519|Pe/J/Julio-Peralta|Julio Peralta|9|9|1981|-1|-1|-1|-1|Chile
50|P516|Pu/X/Xavier-Pujo|Xavier Pujo|5|12|1977|180|74|1|2000|France
51|MP13|Mu/S/Sasi-Kumar-Mukund|Sasi Kumar Mukund|14|1|1997|-1|-1|1|-1|India
52|BK41|Bo/P/Punn-Bodhidatta|Punn Bodhidatta|3|6|1993|-1|-1|1|-1|Thailand
53|P513|Po/S/Sergei-Pozdnev|Sergei Pozdnev|15|2|1982|-1|-1|-1|-1|Russian Federation
54|BE67|Ba/M/Mirza-Basic|Mirza Bašić|12|7|1991|188|87|-1|-1|Bosnia and Herzegovina
55|BE66|Be/G/Gilad-Ben-Zvi|Gilad Ben Zvi|12|6|1990|-1|-1|-1|-1|Israel
56|W522|Wi/R/Rhyne-R-Williams|Rhyne R Williams|22|3|1991|185|84|1|2011|United States
